,brand,model name,model color,storage,review,rating,star rating,ram,display_size,battery,discount
0,REDMI,REDMI 11 Prime 5G ,Meadow Green, 64 GB,262,4687,4.2,4 GB  ,6.58 inch,5000.0,No Discount
1,realme,realme GT 8 Pro ,Diary White, 512 GB,19,99,4.5,16 GB  ,6.79 inch,7000.0,9% off
2,OnePlus,OnePlus 11 5G ,Eternal Green, 256 GB,165,1900,4.5,16 GB  ,6.7 inch,5000.0,No Discount
3,IQOO,IQOO Z11 Lite 5G ,Solar Flame, 256 GB,0,0,0.0,6 GB  ,6.74 inch,6500.0,22% off
4,realme,realme P4R 5G ,Silver Glare, 128 GB,259,3219,4.4,6 GB  ,6.8 inch,8000.0,45% off
5,realme,realme P4 Lite 5G ,Mosaic Blue, 64 GB,755,11802,4.2,4 GB  ,6.8 inches,7000.0,43% off
6,vivo,vivo V70 ,Passion Red 2026, 256 GB,192,1589,4.6,8 GB  ,6.59 inches,6500.0,9% off
7,vivo,vivo V70 ,Lemon Yellow 2026, 256 GB,192,1589,4.6,8 GB  ,6.59 inches,6500.0,9% off
8,vivo,vivo X200T ,Seaside Lilac, 256 GB,1562,7826,4.6,12 GB  ,6.67 inch,6200.0,25% off
9,realme,realme P4 Power 5G ,TransSilver, 128 GB,749,7149,4.4,8 GB  ,6.8 inch,10001.0,9% off
10,REDMI,REDMI Note 14 Pro+ 5G ,Titan Black, 256 GB,295,3406,4.4,8 GB  ,6.67 inch,6200.0,No Discount
11,OnePlus,OnePlus N6X ,Burgundy Red, 64 GB,0,0,0.0,4 GB  ,6.8 inch,7000.0,22% off
12,OPPO,OPPO Reno13 5G ,Blue, 128 GB,530,4780,4.4,8 GB  ,6.59 inch,5600.0,No Discount
13,OPPO,OPPO Reno13 5G ,Ivory White, 128 GB,530,4780,4.4,8 GB  ,6.59 inch,5600.0,No Discount
14,Google,Google Pixel 10 ,Obsidian, 256 GB,320,3339,4.5,12 GB  ,6.3 inch,4970.0,6% off
