,brand name,rating & review,star rating,discount,other info
0,"REDMI 11 Prime 5G (Meadow Green, 64 GB)","4,687 Ratings & 262 Reviews",4.2,,"4 GB RAM | 64 GB ROM
16.71 cm (6.58 inch) Display
5MP Rear Camera
5000 mAh Battery
1 Year Warranty"
1,"realme GT 8 Pro (Diary White, 512 GB)",99 Ratings & 19 Reviews,4.5,9% off,"16 GB RAM | 512 GB ROM
17.25 cm (6.79 inch) Quad HD+ Display
50MP + 50MP + 200MP | 32MP Front Camera
7000 mAh Battery
8 Elite Gen 5 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories"
2,"OnePlus 11 5G (Eternal Green, 256 GB)","1,900 Ratings & 165 Reviews",4.5,,"16 GB RAM | 256 GB ROM
17.02 cm (6.7 inch) Display
50MP Rear Camera
5000 mAh Battery
domestic warranty of 12 months on phone & 6 months on accessories"
3,"IQOO Z11 Lite 5G (Solar Flame, 256 GB)",,,22% off,"6 GB RAM | 256 GB ROM
17.12 cm (6.74 inch) Display
50MP Rear Camera
6500 mAh Battery
Mediatek Dimensity 6300 Processor
One Year of Handset six months of Accessories"
4,"realme P4R 5G (Silver Glare, 128 GB)","3,219 Ratings & 259 Reviews",4.4,45% off,"6 GB RAM | 128 GB ROM
17.27 cm (6.8 inch) HD+ Display
50MP Rear Camera | 8MP Front Camera
8000 mAh Lithium-ion polymer Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
5,"realme P4 Lite 5G (Mosaic Blue, 64 GB)","11,802 Ratings & 755 Reviews",4.2,43% off,"4 GB RAM | 64 GB ROM
17.27 cm (6.8 inches) HD+ Display
13MP Rear Camera | 5MP Front Camera
7000 mAh lithium-ion polymer Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
6,"vivo V70 (Passion Red 2026, 256 GB)","1,589 Ratings & 192 Reviews",4.6,9% off,"8 GB RAM | 256 GB ROM
16.74 cm (6.59 inches) Full HD+ AMOLED Display
50MP + 50MP + 8MP | 50MP Front Camera
6500 mAh Li-ion battery Battery
Snapdragon 7 Gen 4 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories"
7,"vivo V70 (Lemon Yellow 2026, 256 GB)","1,589 Ratings & 192 Reviews",4.6,9% off,"8 GB RAM | 256 GB ROM
16.74 cm (6.59 inches) Full HD+ AMOLED Display
50MP + 50MP + 8MP | 50MP Front Camera
6500 mAh Li-ion battery Battery
Snapdragon 7 Gen 4 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories"
8,"vivo X200T (Seaside Lilac, 256 GB)","7,826 Ratings & 1,562 Reviews",4.6,25% off,"12 GB RAM | 256 GB ROM
16.94 cm (6.67 inch) Full HD+ AMOLED Display
50MP + 50MP + 50MP | 32MP Front Camera
6200 mAh Battery
Dimensity 9400+ Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories"
9,"realme P4 Power 5G (TransSilver, 128 GB)","7,149 Ratings & 749 Reviews",4.4,9% off,"8 GB RAM | 128 GB ROM
17.27 cm (6.8 inch) Full HD+ AMOLED Display
50MP + 8MP | Yes
10001 mAh Battery
Dimensity 7400 Ultra Processor
1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
10,"REDMI Note 14 Pro+ 5G (Titan Black, 256 GB)","3,406 Ratings & 295 Reviews",4.4,,"8 GB RAM | 256 GB ROM
16.94 cm (6.67 inch) Full HD+ AMOLED Display
50MP + 50MP + 8MP | 20MP Front Camera
6200 mAh Battery
7s Gen 3 Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
11,"OnePlus N6X (Burgundy Red, 64 GB)",,,22% off,"4 GB RAM | 64 GB ROM
17.27 cm (6.8 inch) HD+ Display
13MP Rear Camera
7000 mAh Battery
MediaTek Dimensity 6360 Apex Processor
One year of handset six month of accessories"
12,"OPPO Reno13 5G (Blue, 128 GB)","4,780 Ratings & 530 Reviews",4.4,,"8 GB RAM | 128 GB ROM
16.74 cm (6.59 inch) Full HD+ Display
50MP + 8MP + 2MP | 50MP Front Camera
5600 mAh Battery
Dimensity 8350 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories"
13,"OPPO Reno13 5G (Ivory White, 128 GB)","4,780 Ratings & 530 Reviews",4.4,,"8 GB RAM | 128 GB ROM
16.74 cm (6.59 inch) Full HD+ Display
50MP + 8MP + 2MP | 50MP Front Camera
5600 mAh Battery
Dimensity 8350 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories"
14,"Google Pixel 10 (Obsidian, 256 GB)","3,339 Ratings & 320 Reviews",4.5,6% off,"12 GB RAM | 256 GB ROM
16.0 cm (6.3 inch) Quad HD+ Display
48MP + 13MP + 10.8MP | 10.5MP Front Camera
4970 mAh Battery
Tensor G5 Processor
1 Year Domestic Warranty"
